Número de experimentos, Número de universidades, Número de factores a evaluar, Aciertos en el primero(%), Desviación Típica Aciertos con el primero, Aciertos(%), Desviación Típica Aciertos, Falsos positivos(%), Desviación Típica Falsos positivos, Falsos negativos(%), Desviación Típica Falsos negativos,Mayor desplazamiento promedio,Desviación Típica Mayor desplazamiento promedio,Máximo desplazamiento,Máximo desplazamiento porcentual
1,49,3,100,7.7715611723761E-015,63.2653061224,43.3819241983,18.3673469388,12.5947521866,18.3673469388,12.5947521866,40.8163265306,27.9883381924,40.8163265306,(83.29862557267805%)
1,50,3,100,0,60,41.5778787338,10,6.9296464556,30,20.7889393669,40,27.7185858225,40,(80.0%)
1,51,3,100,0,62.7450980392,43.9303555773,13.7254901961,9.6097652825,23.5294117647,16.4738833415,21.568627451,15.1010597297,21.568627451,(42.29142637447136%)
1,52,3,100,0,40.3846153846,28.5617264499,17.3076923077,12.2407399071,42.3076923077,29.9218086618,46.1538461538,32.6419730856,46.1538461538,(88.75739644970415%)
1,53,3,100,0,45.2830188679,32.3445252468,33.9622641509,24.2583939351,20.7547169811,14.8245740714,39.6226415094,28.3014595909,39.6226415094,(74.75970096119616%)
1,54,3,100,0,35.1851851852,25.3769153393,14.8148148148,10.685016985,50,36.0619323243,44.4444444444,32.0550509549,44.4444444444,(82.30452674897118%)
1,55,3,100,0,69.0909090909,50.3075679191,16.3636363636,11.9149502966,14.5454545455,10.5910669303,40,29.1254340584,40,(72.72727272727273%)
1,56,3,100,0,58.9285714286,43.3106387563,8.9285714286,6.5622179934,32.1428571429,23.6239847762,12.5,9.1871051907,12.5,(22.321428571428573%)
1,57,3,100,0,31.5789473684,23.4233090513,8.7719298246,6.5064747365,59.649122807,44.2440282079,35.0877192982,26.0258989458,35.0877192982,(61.55740227762388%)
1,58,3,100,0,60.3448275862,45.1648850957,12.0689655172,9.0329770191,27.5862068966,20.6468046152,29.3103448276,21.9372299036,29.3103448276,(50.535077288941736%)
1,59,3,100,0,62.7118644068,47.3534581296,16.9491525424,12.7982319269,20.3389830508,15.3578783123,35.593220339,26.8762870465,35.593220339,(60.32749209997127%)
1,60,3,100,0,65,49.509637109,18.3333333333,13.9642566205,16.6666666667,12.6947787459,41.6666666667,31.7369468648,41.6666666667,(69.44444444444444%)
1,61,3,100,0,77.0491803279,59.1908199034,14.7540983607,11.3344123219,8.1967213115,6.2968957344,42.6229508197,32.7438578189,42.6229508197,(69.87368986831495%)
1,62,3,100,0,59.6774193548,46.2321430064,6.4516129032,4.9980695142,33.8709677419,26.2398649496,32.2580645161,24.990347571,32.2580645161,(52.02913631633715%)
1,63,3,100,0,61.9047619048,48.3554548009,17.4603174603,13.6387180208,20.6349206349,16.1184849336,22.2222222222,17.3583683901,22.2222222222,(35.273368606701936%)
1,64,3,100,0,78.125,61.5234375,12.5,9.84375,9.375,7.3828125,34.375,27.0703125,34.375,(53.7109375%)
1,65,3,100,0,87.6923076923,69.6121095048,9.2307692308,7.3275904742,3.0769230769,2.4425301581,40,31.7528920548,40,(61.53846153846154%)
